n,impl,time_ms,error,residual
256,serial,0.628802,0.000006,0.000612
256,sse_unaligned,0.668087,0.000006,0.000612
256,sse_aligned,0.681072,0.000006,0.000612
1024,serial,45.509850,0.000020,0.009310
1024,sse_unaligned,43.247846,0.000020,0.009310
1024,sse_aligned,40.287769,0.000020,0.009310
1024,auto_vec,22.689437,0.000020,0.009310
2048,serial,343.054047,0.000040,0.035741
2048,sse_unaligned,374.794086,0.000040,0.035741
2048,sse_aligned,348.562221,0.000040,0.035741
2048,auto_vec,190.783557,0.000040,0.035690
